A¤o;Periodo;Variaci¢ntrimestral(en%)
1970;Trimestre2;0.3
1970;Trimestre3;0.6
1970;Trimestre4;0.8
1971;Trimestre1;1
1971;Trimestre2;1.7
1971;Trimestre3;1.6
1971;Trimestre4;1.9
1972;Trimestre1;1.8
1972;Trimestre2;2.1
1972;Trimestre3;2.2
1972;Trimestre4;2
1973;Trimestre1;1.8
1973;Trimestre2;1.8
1973;Trimestre3;1.7
1973;Trimestre4;1.4
1974;Trimestre1;1.6
1974;Trimestre2;1
1974;Trimestre3;0.6
1974;Trimestre4;0.2
1975;Trimestre1;-0.2
1975;Trimestre2;-0.1
1975;Trimestre3;0.3
1975;Trimestre4;0.6
1976;Trimestre1;0.8
1976;Trimestre2;1
1976;Trimestre3;0.9
1976;Trimestre4;0.9
1977;Trimestre1;1.1
1977;Trimestre2;0.6
1977;Trimestre3;0.5
1977;Trimestre4;0.9
1978;Trimestre1;0.4
1978;Trimestre2;0.3
1978;Trimestre3;0
1978;Trimestre4;-0.1
1979;Trimestre1;-0.5
1979;Trimestre2;0
1979;Trimestre3;0.2
1979;Trimestre4;0.5
1980;Trimestre1;0.5
1980;Trimestre2;0.5
1980;Trimestre3;0.1
1980;Trimestre4;0.2
1981;Trimestre1;-0.1
1981;Trimestre2;0
1981;Trimestre3;0.2
1981;Trimestre4;0
1982;Trimestre1;0.3
1982;Trimestre2;0.4
1982;Trimestre3;0.5
1982;Trimestre4;0.4
1983;Trimestre1;0.5
1983;Trimestre2;0.7
1983;Trimestre3;0.4
1983;Trimestre4;0.8
1984;Trimestre1;0.7
1984;Trimestre2;0.4
1984;Trimestre3;0.7
1984;Trimestre4;0.2
1985;Trimestre1;0.7
1985;Trimestre2;0.2
1985;Trimestre3;0.3
1985;Trimestre4;0.5
1986;Trimestre1;0.2
1986;Trimestre2;1.1
1986;Trimestre3;0.4
1986;Trimestre4;0.5
1987;Trimestre1;1.5
1987;Trimestre2;1.5
1987;Trimestre3;1.4
1987;Trimestre4;1.6
1988;Trimestre1;0.8
1988;Trimestre2;1.2
1988;Trimestre3;1.2
1988;Trimestre4;0.6
1989;Trimestre1;1.2
1989;Trimestre2;1.1
1989;Trimestre3;1.2
1989;Trimestre4;0.9
1990;Trimestre1;0.7
1990;Trimestre2;1.3
1990;Trimestre3;0.6
1990;Trimestre4;0.4
1991;Trimestre1;0.4
1991;Trimestre2;0.8
1991;Trimestre3;0.5
1991;Trimestre4;1.1
1992;Trimestre1;0.5
1992;Trimestre2;-1
1992;Trimestre3;0
1992;Trimestre4;-0.4
1993;Trimestre1;-1.1
1993;Trimestre2;0
1993;Trimestre3;0.9
1993;Trimestre4;0.4
1994;Trimestre1;0.9
1994;Trimestre2;0.4
1994;Trimestre3;0.5
1994;Trimestre4;0.8
1995;Trimestre1;1.3
1995;Trimestre2;0.62
1995;Trimestre3;0.41
1995;Trimestre4;0.76
1996;Trimestre1;0.59
1996;Trimestre2;0.73
1996;Trimestre3;0.86
1996;Trimestre4;0.53
1997;Trimestre1;1.01
1997;Trimestre2;0.91
1997;Trimestre3;1.18
1997;Trimestre4;1.38
1998;Trimestre1;0.88
1998;Trimestre2;1.12
1998;Trimestre3;0.95
1998;Trimestre4;1.1
1999;Trimestre1;1
1999;Trimestre2;1.19
1999;Trimestre3;1.33
1999;Trimestre4;1.14
2000;Trimestre1;1.62
2000;Trimestre2;1.24
2000;Trimestre3;1.07
2000;Trimestre4;1.01
2001;Trimestre1;1.02
2001;Trimestre2;0.72
2001;Trimestre3;0.94
2001;Trimestre4;0.71
2002;Trimestre1;0.43
2002;Trimestre2;0.85
2002;Trimestre3;0.62
2002;Trimestre4;0.76
2003;Trimestre1;0.95
2003;Trimestre2;0.5
2003;Trimestre3;0.66
2003;Trimestre4;0.86
2004;Trimestre1;0.6
2004;Trimestre2;0.98
2004;Trimestre3;0.95
2004;Trimestre4;0.68
2005;Trimestre1;0.98
2005;Trimestre2;0.89
2005;Trimestre3;0.96
2005;Trimestre4;1.02
2006;Trimestre1;1.14
2006;Trimestre2;0.97
2006;Trimestre3;0.93
2006;Trimestre4;0.96
2007;Trimestre1;0.91
2007;Trimestre2;0.9
2007;Trimestre3;0.78
2007;Trimestre4;0.64
2008;Trimestre1;0.22
2008;Trimestre2;0.12
2008;Trimestre3;-0.19
2008;Trimestre4;-1.59
2009;Trimestre1;-2.58
2009;Trimestre2;-0.03
2009;Trimestre3;0.2
2009;Trimestre4;-0.03
2010;Trimestre1;-0.03
2010;Trimestre2;0.14
2010;Trimestre3;-0.06
2010;Trimestre4;0.07
2011;Trimestre1;-0.15
2011;Trimestre2;-0.31
2011;Trimestre3;-0.65
2011;Trimestre4;-0.63
2012;Trimestre1;-0.95
2012;Trimestre2;-0.97
2012;Trimestre3;-0.5
2012;Trimestre4;-0.78
2013;Trimestre1;-0.32
2013;Trimestre2;-0.08
2013;Trimestre3;-0.07
2013;Trimestre4;0.17
2014;Trimestre1;0.37
2014;Trimestre2;0.46
2014;Trimestre3;0.74
2014;Trimestre4;0.86
2015;Trimestre1;1.15
2015;Trimestre2;1.07
2015;Trimestre3;0.91
2015;Trimestre4;0.96
2016;Trimestre1;0.68
2016;Trimestre2;0.43
2016;Trimestre3;0.87
2016;Trimestre4;0.47
2017;Trimestre1;0.75
2017;Trimestre2;1.02
2017;Trimestre3;0.55
2017;Trimestre4;0.68
2018;Trimestre1;0.49
2018;Trimestre2;0.55
2018;Trimestre3;0.5
2018;Trimestre4;0.56
2019;Trimestre1;0.53
2019;Trimestre2;0.36
2019;Trimestre3;0.41
2019;Trimestre4;0.47
2020;Trimestre1;-5.36
2020;Trimestre2;-17.78
2020;Trimestre3;17.05
2020;Trimestre4;0.01
